Index,Original Code,Program Length,Ground truth,Original Prediction,Adversarial Code,Adversarial truth,Adv Prediction,Is Success,Query Times,Time Cost,Perturbation Type,orig prob,current prob,Attack path
10,"def multiples_of_num(m,n):
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    #begin to write code
",101,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)","def multiples_of_num(m, n):
    multiples_of_num = list(range(n, (m + 1) * n, n))
    return multiples_of_num

# Example usage:
# multiples_of_num(3, 5) should return [3, 6, 9, 12, 15]
","def multiples_of_num(m,n):
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    #begin to write code
","def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)","def multiples_of_num(m, n):
    """"""
    Find m number of multiples of n.

    Parameters:
    m (int): The starting multiple of n.
    n (int): The number to find multiples of.

    Returns:
    list: A list of multiples of n from m to n inclusive.
    """"""
    return list(range(m, (m + 1) * n, n))

# Example usage
multiples = multiples_of_num(3, 5)
print(multiples)
",1,5,0.5406838178634643,code_stmt_exchange:else_if2elseif,1.0,0.0,"{'def multiples_of_num(m,n): \n    multiples_of_num= list(range(n,(m+1)*n, n)) \n    return list(multiples_of_num)': [('def multiples_of_num(m,n):\n    multiples_of_num= list(range(n,(m+1)*n, n)) \n    #begin to write code\n', 'def multiples_of_num(m, n):\n    multiples_of_num = list(range(n, (m + 1) * n, n))\n    return multiples_of_num\n\n# Example usage:\nm = 10\nn = 3\nprint(multiples_of_num(m, n))\n', 'Not_Determinator_once'), ('def multiples_of_num(m,n):\n    multiples_of_num= list(range(n,(m+1)*n, n)) \n    #begin to write code\n', 'def multiples_of_num(m, n):\n    """"""\n    Find m number of multiples of n.\n\n    Parameters:\n    m (int): The starting multiple of n.\n    n (int): The number to find multiples of.\n\n    Returns:\n    list: A list of multiples of n from m to n inclusive.\n    """"""\n    return list(range(m, (m + 1) * n, n))\n\n# Example usage\nmultiples = multiples_of_num(3, 5)\nprint(multiples)\n', 'else_if2elseif')]}"
11,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1
    for i in range(len(nums)):
        if nums[i] in num_set:
        #begin to write code
",165,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate","def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1
    
    for i in range(len(nums)):
        if nums[i] in num_set:
            return nums[i]
        
        num_set.add(nums[i])
    
    return no_duplicate

# Example usage:
nums = [3, 3, 2, 4, 5]
print(find_first_duplicate(nums))  # Output: 3
","def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1
    for i in range(len(nums)):
        if not(nums[i] in num_set):
        #begin to write code
","def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if not(nums[i] in num_set):
            num_set.add(nums[i])
        else:
            return nums[i]

    return no_duplicate","def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1
    
    for i in range(len(nums)):
        if nums[i] not in num_set:
            num_set.add(nums[i])
        else:
            no_duplicate = nums[i]
    
    return no_duplicate

# Example usage:
nums = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
print(find_first_duplicate(nums))  # Output: 1
",1,3,0.3989844600359599,code_stmt_exchange:Not_Determinator_once,1.0,0.0,"{'def find_first_duplicate(nums):\n    num_set = set()\n    no_duplicate = -1\n\n    for i in range(len(nums)):\n\n        if not(nums[i] in num_set):\n            num_set.add(nums[i])\n        else:\n            return nums[i]\n\n    return no_duplicate': [('def find_first_duplicate(nums):\n    num_set = set()\n    no_duplicate = -1\n    for i in range(len(nums)):\n        if not(nums[i] in num_set):\n        #begin to write code\n', 'def find_first_duplicate(nums):\n    num_set = set()\n    no_duplicate = -1\n    \n    for i in range(len(nums)):\n        if nums[i] not in num_set:\n            num_set.add(nums[i])\n        else:\n            no_duplicate = nums[i]\n    \n    return no_duplicate\n\n# Example usage:\nnums = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]\nprint(find_first_duplicate(nums))  # Output: 1\n', 'Not_Determinator_once')]}"
12,"def maximum_Sum(list1):
    maxi = -100000
    for x in list1: 
        sum = 0 
        #begin to write code
",110,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ","def maximum_Sum(list1):
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum += y 
        if sum > maxi: 
            maxi = sum 
    return maxi
","def maximum_Sum(list1):
    maxi = -100000
    for x in list1: 
        sum = 0 
        #begin to write code
","def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ","def maximum_Sum(list1):
    # Initialize the maximum sum to negative infinity
    maxi = -100000
    
    # Iterate through each sublist in the list
    for sublist in list1:
        # Initialize the current sum to zero
        current_sum = 0
        
        # Iterate through each element in the sublist
        for num in sublist:
            # Add the current number to the current sum
            current_sum += num
            
            # Update the maximum sum if the current sum is greater
            if current_sum > maxi:
                maxi = current_sum
    
    return maxi

# Example usage
list1 = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
]

print(maximum_Sum(list1))  # Output: 27
",1,9,0.880346143245697,code_stmt_exchange:for2while,1.0,0.0,"{'def maximum_Sum(list1): \n    maxi = -100000\n    for x in list1: \n        sum = 0 \n        for y in x: \n            sum+= y      \n        maxi = max(sum,maxi)     \n    return maxi ': [('def maximum_Sum(list1):\n    maxi = -100000\n    for x in list1: \n        sum = 0 \n        #begin to write code\n', 'def maximum_Sum(list1):\n    maxi = -100000\n    for x in list1:\n        sum = 0\n        for y in x:\n            sum += y\n        if sum > maxi:\n            maxi = sum\n    return maxi\n', 'else_if2elseif'), ('def maximum_Sum(list1):\n    maxi = -100000\n    for x in list1: \n        sum = 0 \n        #begin to write code\n', 'from typing import List\n\ndef maximum_Sum(list1: List[List[int]]) -> int:\n    """"""\n    Finds the maximum sum of elements of a list of lists.\n\n    Parameters:\n    list1 (List[List[int]]): A list of lists of integers.\n\n    Returns:\n    int: The maximum sum of elements in the list of lists.\n    """"""\n    if not list1:\n        return 0\n\n    max_sum = float(\'-inf\')\n    for row in list1:\n        current_sum = sum(row)\n        if current_sum > max_sum:\n            max_sum = current_sum\n\n    return max_sum\n', 'for_var_outer'), ('def maximum_Sum(list1):\n    maxi = -100000\n    for x in list1: \n        sum = 0 \n        #begin to write code\n', 'def maximum_Sum(list1):\n    maxi = -100000\n    for x in list1:\n        sum = 0\n        for y in x:\n            sum += y\n        if sum > maxi:\n            maxi = sum\n    return maxi\n', 'for_var_outer'), ('def maximum_Sum(list1):\n    maxi = -100000\n    for x in list1: \n        sum = 0 \n        #begin to write code\n', 'def maximum_Sum(list1):\n    # Initialize the maximum sum to negative infinity\n    maxi = -100000\n    \n    # Iterate through each sublist in the list\n    for sublist in list1:\n        # Initialize the current sum to zero\n        current_sum = 0\n        \n        # Iterate through each element in the sublist\n        for num in sublist:\n            # Add the current number to the current sum\n            current_sum += num\n            \n            # Update the maximum sum if the current sum is greater\n            if current_sum > maxi:\n                maxi = current_sum\n    \n    return maxi\n\n# Example usage\nlist1 = [\n    [1, 2, 3],\n    [4, 5, 6],\n    [7, 8, 9]\n]\n\nprint(maximum_Sum(list1))  # Output: 27\n', 'for2while')]}"
13,"def binary_to_decimal(binary):
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        #begin to write code
",161,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)","def binary_to_decimal(binary):
    # Initialize the decimal variable
    decimal = 0
    
    # Iterate over each digit in the binary number
    while(binary > 0):
        # Get the last digit using modulo operator
        digit = binary % 10
        # Multiply the decimal by 2 and add the last digit
        decimal = decimal * 2 + digit
        # Remove the last digit from the binary number
        binary //= 10
    
    return decimal
",,,,-2,1,0.18598655462265015,code_stmt_exchange:None,0.0,0.0,
14,"def find_Product(arr,n):
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
    #begin to write code
",107,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ","def find_Product(arr, n):
    arr.sort()  # Sort the array to ensure non-repeated elements are adjacent
    prod = 1  # Initialize product to 1
    seen = set()  # Set to keep track of seen elements

    for i in range(n):
        if arr[i] not in seen:
            prod *= arr[i]  # Multiply the product by the current element
            seen.add(arr[i])  # Mark the current element as seen

    return prod

# Example usage:
arr = [3, 5, 7, 8, 9, 3, 2]
n = len(arr)
result = find_Product(arr, n)
print(""The product of non-repeated elements is:"", result)
","def find_Product(arr,n):
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
    #begin to write code
","def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ","from typing import List

def find_Product(arr: List[int], n: int) -> int:
    """"""
    Find the product of non-repeated elements in a given array.

    Args:
    arr (List[int]): The input array.
    n (int): The length of the array.

    Returns:
    int: The product of non-repeated elements.
    """"""
    # Step 1: Sort the array
    arr.sort()

    # Step 2: Initialize the product variable
    prod = 1

    # Step 3: Iterate through the array with a step of 2
    for i in range(0, n, 2):
        # Step 4: Multiply the current element with the product
        prod *= arr[i]

    return prod
",1,5,0.6655648191769917,code_stmt_exchange:for2while,1.0,0.0,"{'def find_Product(arr,n): \n    arr.sort() \n    prod = 1\n    for i in range(0,n,1): \n        if (arr[i - 1] != arr[i]): \n            prod = prod * arr[i] \n    return prod; ': [('def find_Product(arr,n):\n    arr.sort() \n    prod = 1\n    for i in range(0,n,1): \n    #begin to write code\n', 'def find_Product(arr, n):\n    """"""\n    Find the product of non-repeated elements in the given array.\n\n    Parameters:\n    arr (list): The input array of integers.\n    n (int): The length of the array.\n\n    Returns:\n    int: The product of non-repeated elements.\n    """"""\n    # Remove duplicates by converting the list to a set\n    unique_elements = set(arr)\n    \n    # Initialize the product to 1\n    prod = 1\n    \n    # Iterate over the unique elements\n    for element in unique_elements:\n        # Multiply the product by the current element\n        prod *= element\n    \n    return prod\n', 'for_var_inner'), ('def find_Product(arr,n):\n    arr.sort() \n    prod = 1\n    for i in range(0,n,1): \n    #begin to write code\n', 'from typing import List\n\ndef find_Product(arr: List[int], n: int) -> int:\n    """"""\n    Find the product of non-repeated elements in a given array.\n\n    Args:\n    arr (List[int]): The input array.\n    n (int): The length of the array.\n\n    Returns:\n    int: The product of non-repeated elements.\n    """"""\n    # Step 1: Sort the array\n    arr.sort()\n\n    # Step 2: Initialize the product variable\n    prod = 1\n\n    # Step 3: Iterate through the array with a step of 2\n    for i in range(0, n, 2):\n        # Step 4: Multiply the current element with the product\n        prod *= arr[i]\n\n    return prod\n', 'for2while')]}"
15,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
    #begin to write code
",118,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ","from typing import List

def check_k_elements(test_list: List[tuple], K: int) -> bool:
    res = True
    for tup in test_list:
        for ele in tup:
            if len(ele)!= K:
                res = False
                break
    return res

# Example usage:
test_list = [(1, 2, 3), (4, 5, 6), (7, 8, 9)]
K = 3
print(check_k_elements(test_list, K))  # Output: True
",,,,-2,1,0.18142143487930298,code_stmt_exchange:None,0.0,0.0,
16,"import re  
def remove(list):
    pattern = '[0-9]'
    #begin to write code
",77,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list","import re

def remove(list):
    # Use regular expression to remove all digits from the list of strings
    return [s for s in list if not re.search(r'\d', s)]

# Example usage:
example_list = [""hello123"", ""world456"", ""7890"", ""python3.8""]
filtered_list = remove(example_list)
print(filtered_list)  # Output: ['hello', 'world', 'python']
",,,,-2,1,0.18361874421437582,code_stmt_exchange:None,0.0,0.0,
17,"def binomial_Coeff(n,k):
    if k > n : 
       return 0
       #begin to write code
",85,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ","def binomial_Coeff(n, k):
    if k > n:
        return 0
    result = 1
    for i in range(k + 1):
        result *= (n - i)
    return result

# Example usage:
print(binomial_Coeff(5, 3))  # Output: 10
",,,,-2,1,0.17211018403371176,code_stmt_exchange:None,0.0,0.0,
18,"def get_Odd_Occurrence(arr,arr_size):
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
            #begin to write code
",193,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1","def get_Odd_Occurrence(arr, arr_size):
    # Initialize a dictionary to count occurrences of each element
    count_dict = {}
    
    # Count occurrences of each element in the array
    for num in arr:
        if num in count_dict:
            count_dict[num] += 1
        else:
            count_dict[num] = 1
    
    # Initialize a variable to store the element with odd occurrence count
    odd_occurrence = None
    
    # Iterate through the dictionary to find the element with odd occurrence count
    for num, count in count_dict.items():
        if count % 2!= 0:
            if odd_occurrence is None or num < odd_occurrence:
                odd_occurrence = num
    
    return odd_occurrence
","def get_Odd_Occurrence(arr,arr_size):
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
            #begin to write code
","def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1","from collections import Counter

def get_Odd_Occurrence(arr, arr_size):
    # Count the occurrences of each element in the array
    count = Counter(arr)
    
    # Initialize a list to store elements with odd occurrences
    odd_occurrences = []
    
    # Iterate over the dictionary to find elements with odd occurrences
    for element, occurrence in count.items():
        if occurrence % 2!= 0:
            odd_occurrences.append(element)
    
    return odd_occurrences
",1,5,0.6010389645894368,code_stmt_exchange:while2for,1.0,0.0,"{'def get_Odd_Occurrence(arr,arr_size):   \n    for i in range(0,arr_size): \n        count = 0\n        for j in range(0,arr_size): \n            if arr[i] == arr[j]: \n                count+=1     \n        if (count % 2 != 0): \n            return arr[i]     \n    return -1': [('def get_Odd_Occurrence(arr,arr_size):\n    for i in range(0,arr_size): \n        count = 0\n        for j in range(0,arr_size): \n            if arr[i] == arr[j]: \n            #begin to write code\n', 'from collections import Counter\n\ndef get_Odd_Occurrence(arr, arr_size):\n    """"""\n    Find the element occurring odd number of times in the array.\n\n    Args:\n    arr (list): The input list of integers.\n    arr_size (int): The size of the input list.\n\n    Returns:\n    int: The element with an odd occurrence.\n    """"""\n    # Count the occurrences of each element in the array\n    element_counts = Counter(arr)\n\n    # Initialize a variable to keep track of the odd occurrence element\n    odd_occurrence_element = None\n\n    # Iterate over the elements and check their counts\n    for element, count in element_counts.items():\n        if count % 2!= 0:\n            # If the count is odd, update the odd occurrence element\n            odd_occurrence_element = element\n\n    return odd_occurrence_element\n', 'else_if2elseif'), ('def get_Odd_Occurrence(arr,arr_size):\n    for i in range(0,arr_size): \n        count = 0\n        for j in range(0,arr_size): \n            if arr[i] == arr[j]: \n            #begin to write code\n', 'from collections import Counter\n\ndef get_Odd_Occurrence(arr, arr_size):\n    # Count the occurrences of each element in the array\n    count = Counter(arr)\n    \n    # Initialize a list to store elements with odd occurrences\n    odd_occurrences = []\n    \n    # Iterate over the dictionary to find elements with odd occurrences\n    for element, occurrence in count.items():\n        if occurrence % 2!= 0:\n            odd_occurrences.append(element)\n    \n    return odd_occurrences\n', 'while2for')]}"
19,"def check_Equality(s):
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    #begin to write code
",170,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","def check_Equality(s):
    return (ord(s[0]) == ord(s[len(s) - 1]))

def count_Substring_With_Equal_Ends(s):
    result = 0
    n = len(s)
    
    for i in range(n):
        # Check if the substring from i to n-1 has the same character at both ends
        if check_Equality(s[i:n]):
            result += 1
    
    return result

# Example usage:
input_string = ""abcde""
print(count_Substring_With_Equal_Ends(input_string))  # Output: 3
",,,,-2,1,0.21639890670776368,code_stmt_exchange:None,0.0,0.0,
